Datum,1 mån,3 mån,6 mån
2023-04-21,3.26300,3.49600,3.52981
2023-04-24,3.26100,3.49800,3.52596
2023-04-25,3.24000,3.50000,3.48582
2023-04-26,3.25700,3.46600,3.29690
2023-04-27,3.24600,3.49700,3.32784
2023-04-28,3.24200,3.50000,3.25784
2023-05-02,3.35200,3.49700,3.26812
2023-05-03,3.35700,3.51400,3.28673
2023-05-04,3.29400,3.47600,3.29962
2023-05-05,3.34100,3.50400,3.51314
2023-05-08,3.34700,3.51200,3.50880
2023-05-09,3.35600,3.50400,3.51297
2023-05-10,3.31300,3.45300,3.47578
2023-05-11,3.31900,3.42500,3.45057
2023-05-12,3.34100,3.45000,3.48064
2023-05-15,3.34300,3.45200,3.47607
2023-05-16,3.35900,3.52100,3.26389
2023-05-17,3.34500,3.49900,3.24480
2023-05-19,3.34800,3.51900,3.24423
2023-05-22,3.36500,3.53500,3.25256
2023-05-23,3.35500,3.52000,3.24130
2023-05-24,3.34500,3.52700,3.57544
2023-05-25,3.35700,3.52200,3.28814
2023-05-26,3.34500,3.52500,3.35372
2023-05-29,3.33200,3.51900,3.32790
2023-05-30,3.35400,3.52700,3.33328
2023-05-31,3.34100,3.52500,3.29412
2023-06-01,3.31200,3.47400,3.27052
2023-06-02,3.34700,3.52100,3.31722
2023-06-05,3.29900,3.48200,3.33423
2023-06-07,3.30400,3.49600,3.34757
2023-06-08,3.36300,3.47200,3.33570
2023-06-09,3.37800,3.45200,3.33756
2023-06-12,3.39700,3.45500,3.31578
2023-06-13,3.36200,3.46400,3.33738
2023-06-14,3.38600,3.49100,3.40307
2023-06-15,3.49000,3.51600,3.44032
2023-06-16,3.49800,3.54600,3.44282
2023-06-19,3.50700,3.54400,3.46174
2023-06-20,3.47600,3.55100,3.43969
2023-06-21,3.48300,3.55000,3.43957
2023-06-22,3.64100,3.58300,3.44008
2023-06-26,3.55600,3.58700,3.44060
2023-06-27,3.57100,3.62600,3.43471
2023-06-28,3.58800,3.63900,3.55138
2023-06-29,3.53800,3.66600,3.59872
2023-06-30,3.53300,3.64700,3.63103
2023-07-03,3.52800,3.66600,3.63935
2023-07-04,3.54900,3.63200,3.65668
2023-07-05,3.54400,3.68600,3.69441
2023-07-06,3.52300,3.69700,3.80582
2023-07-07,3.63300,3.72100,3.74656
2023-07-10,3.66400,3.77800,3.77446
2023-07-11,3.63400,3.81300,3.79339
