,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-12-01,1.0618913402119543,0.7806473082909012,1.3494585122922536,0.9719695302170164,0.001750593380716703,0.011471288948005531,-0.00379601732566337,0.0019128594149271372,0.01891,5.203865522984685e-05,0.013611694677871267,,,,,,,,,,,,,,,,,
2022-12-02,1.0639446087679103,0.7909550707958876,1.3432572868991792,0.9740227987729724,0.0019335957251014335,0.013204122265602303,-0.0045953434926581105,0.0021124824309024515,0.0184,5.064786106245833e-05,0.00293622349842404,,,,,,,,,,,,,,,,,
2022-12-05,1.0635526951447265,0.7974255214084773,1.322933988422386,0.972044099835667,-0.0003683590479749421,0.008180553929667544,-0.015129862815565387,-0.0020314708647457547,0.01867,5.138425035355887e-05,0.00576914797434025,,,,,,,,,,,,,,,,,
2022-12-06,1.0643190706036691,0.7825122678073979,1.339379992941351,0.97281047529461,0.0007205806185639485,-0.018701751073552875,0.012431462690422723,0.000788416347645704,0.01867,5.138425035355887e-05,-0.016780103591455875,,,,,,,,,,,,,,,,,
2022-12-07,1.0664865964573398,0.775826238276432,1.3504010741796584,0.9749780011482806,0.0020365376450890427,-0.008544312729690695,0.008228494748607096,0.0022281070246639167,0.01879,5.171147200822013e-05,-0.00992642256955023,,,,,,,,,,,,,,,,,
2022-12-08,1.0651607449309235,0.7707984964450308,1.352777112958227,0.9736521496218642,-0.0012431956771145058,-0.0064804998636947,0.001759505989738619,-0.0013598784022356147,0.020739999999999998,5.702344369540313e-05,0.0006156281605911307,,,,,,,,,,,,,,,,,
2022-12-09,1.0673685704836866,0.7877379730325348,1.340253287476249,0.9758599751746272,0.0020727627855889885,0.021976530397542104,-0.009257863222265073,0.0022675711789066355,0.02005,5.514498071357288e-05,0.014853878268512366,,,,,,,,,,,,,,,,,
2022-12-12,1.067758771145318,0.7884875963563631,1.3482257866092526,0.9739441947954198,0.00036557256080205214,0.0009516150668000822,0.005948501829841524,-0.0019631713851820942,0.02019,5.552622057636292e-05,-0.003594162733295825,,,,,,,,,,,,,,,,,
2022-12-13,1.0557995308613295,0.802505850560326,1.310289051837313,0.9619849545114314,-0.01120032034123275,0.017778661666641105,-0.028138265228815573,-0.012279184318666703,0.02021,5.5580679154898505e-05,0.01747066492829208,,,,,,,,,,,,,,,,,
2022-12-14,1.0519310537534412,0.796962443199177,1.308095504982685,0.9581164774035428,-0.003664026166721568,-0.0069076223647197565,-0.0016740938585666498,-0.004021348868032293,0.02023,5.5635136668952256e-05,0.0014522467110884563,,,,,,,,,,,,,,,,,
2022-12-15,1.062281335104084,0.7705911343989171,1.355167376484231,0.968466758754186,0.009839315336981125,-0.0330897760933373,0.035985041858368705,0.01080273807490717,0.02108,5.794859747543235e-05,-0.031348630896528173,,,,,,,,,,,,,,,,,
2022-12-16,1.0688338109938178,0.7632966200023346,1.3755668426602805,0.9750192346439196,0.006168305582712419,-0.009466128107316618,0.015053097152451178,0.006765824258297304,0.02059,5.661518991773029e-05,-0.02038659680331123,,,,,,,,,,,,,,,,,
2022-12-19,1.075458496038832,0.7674653172449147,1.4036159438222997,0.9790195241626974,0.006198049665788963,0.0054614381006528046,0.020390940150733394,0.004102780105911252,0.02062,5.6696845459836e-05,-0.0025620280474648593,,,,,,,,,,,,,,,,,
2022-12-20,1.0752558283729543,0.7756730326191154,1.395002893116344,0.97881685649682,-0.00018844768684633806,0.010694574972671234,-0.006136330057993411,-0.000207010852056988,0.020870000000000003,5.7377215245679736e-05,-0.006894687035284619,,,,,,,,,,,,,,,,,
2022-12-21,1.078142842718525,0.7937727052844973,1.3826772491421024,0.98170387084239,0.002684955774607811,0.02333415228355573,-0.008835568754059664,0.002949493898074529,0.020630000000000003,5.672406344214842e-05,0.016562301479263075,,,,,,,,,,,,,,,,,
2022-12-22,1.0782741630028347,0.7819134000576916,1.394799194937528,0.9818351911267,0.00012180230587888197,-0.014940429606426386,0.008767010380005047,0.0001337677157138284,0.02141,5.884624711449682e-05,-0.011873409811186009,,,,,,,,,,,,,,,,,
2022-12-23,1.0780588683743624,0.7899587817321793,1.3863232240060956,0.9816198964982276,-0.00019966594383824532,0.010289351319332951,-0.006076839563857073,-0.0002192777672038737,0.020640000000000002,5.675128115822936e-05,0.007634277454036109,,,,,,,,,,,,,,,,,
2022-12-27,1.077894772876143,0.788698974127507,1.3711410754382185,0.9792792950984652,-0.0001522138568061937,-0.0015947763779646795,-0.010951377214907243,-0.002384427422581825,0.020720000000000002,5.69690133152001e-05,0.006410831166502318,,,,,,,,,,,,,,,,,
2022-12-28,1.0785551174955894,0.783722898341201,1.377437840463417,0.9799396397179116,0.0006126243823267874,-0.006309220563917584,0.004592353870797927,0.000674316941807751,0.02075,5.7050658486712535e-05,-0.007127266247939912,,,,,,,,,,,,,,,,,
2022-12-29,1.0772659425711884,0.7984197765730346,1.3601626123827817,0.9786504647935106,-0.0011952795953483752,0.018752646200513645,-0.01254156635832182,-0.0013155656452188413,0.021269999999999997,5.846546138199571e-05,0.014042801381847658,,,,,,,,,,,,,,,,,
2022-12-30,1.0774940705626688,0.7856395805655965,1.3733990643731806,0.978878592784991,0.00021176571398506816,-0.016006863034246366,0.009731521709166024,0.0002331046677921389,0.02089,5.7431637650484646e-05,-0.01765330501725515,,,,,,,,,,,,,,,,,
2023-01-02,1.072730958594272,0.8049537438507641,1.34455867715122,0.9741154808165944,-0.004420545874474824,0.024583999791944144,-0.02099927688178782,-0.004865886335143177,0.020720000000000002,5.69690133152001e-05,0.01774534972751418,,,,,,,,,,,,,,,,,
2023-01-03,1.0671809046770253,0.8048424388547222,1.3158186574259076,0.9675870690280796,-0.005173761298470914,-0.0001382750212570727,-0.021375058012496062,-0.006701886908769938,0.025099999999999997,6.886395103311571e-05,0.007700137186352318,,,,,,,,,,,,,,,,,
2023-01-04,1.067188802642553,0.8135223476973847,1.3071545445142996,0.9675949669936068,7.400774782340136e-06,0.010784606307557398,-0.006584579769189025,8.16253728475047e-06,0.02649,7.262823615872271e-05,0.011110623161038058,,,,,,,,,,,,,,,,,
2023-01-05,1.0697558950641426,0.8174718132881571,1.3083392637667075,0.970162059415197,0.0024054716609029914,0.004854772093171089,0.0009063344937902951,0.0026530650831786406,0.025230000000000002,6.921622217248569e-05,0.004864489228630919,,,,,,,,,,,,,,,,,
2023-01-09,1.0713626761950097,0.8393744433934693,1.2896501959231297,0.971768840546064,0.0015020072693974207,0.026793131884526034,-0.014284573092893327,0.0016561986889445102,0.025459999999999997,6.983936200555263e-05,0.025242047026279302,,,,,,,,,,,,,,,,,
2023-01-10,1.0730775912615047,0.8355457417515948,1.2969087276979936,0.973483755612559,0.001600685841124827,-0.004561375047822058,0.00562829501969575,0.0017647355985721536,0.025459999999999997,6.983936200555263e-05,-0.004721753794266315,,,,,,,,,,,,,,,,,
2023-01-11,1.068416803633213,0.8384048587637241,1.2639959091411683,0.9667724545284048,-0.004343383615729612,0.003421855763558357,-0.025377898886720707,-0.006894106907753272,0.02545,6.981227186764194e-05,0.013851236868857919,,,,,,,,,,,,,,,,,
2023-01-12,1.0667062653047126,0.8465725184564741,1.2524071727914177,0.9650619161999044,-0.0016010028321190584,0.009741904054317851,-0.009168333746922275,-0.0017693287810260916,0.02634,7.222226309266944e-05,0.010152496344265849,,,,,,,,,,,,,,,,,
2023-01-13,1.0743653532269144,0.8567618513206318,1.2575360157716635,0.9727210041221062,0.007180128373966088,0.01203598350054591,0.004095188123854676,0.007936369463589,0.02803,7.679280810157785e-05,-0.004673670278765751,,,,,,,,,,,,,,,,,
2023-01-16,1.0779705310206515,0.8758389641644242,1.2456692585153455,0.9763261819158432,0.0033556348246979173,0.022266529274601377,-0.009436514825411302,0.003706281429576741,0.027280000000000002,7.476538518336184e-05,0.009183461458549758,,,,,,,,,,,,,,,,,
2023-01-17,1.078712018225631,0.8711798199367147,1.2518113771530135,0.9770676691208224,0.000687854800888843,-0.0053196357074093426,0.004930778050177276,0.000759466681026888,0.0273,7.481946894816183e-05,-0.0052705262291031785,,,,,,,,,,,,,,,,,
