,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,benchmark_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-03-15,1.0039193345157078,0.9517833909797736,1.033774837683615,0.9879485667788576,-0.0019297090151536578,-0.018330909546810048,0.013619991866072434,-0.0019608427243684723,-0.00252,-7.008810283815059e-06,-0.012033900621745697,,,,,,,,,,,,,,,,,,
2022-03-16,1.0035182762349235,0.9946966678187668,0.9900594442830531,0.9875475084980732,-0.00039949253589954825,0.04508723018881211,-0.04228715171527608,-0.0004059505669329333,-0.0025900000000000003,-7.2037514211586995e-06,0.044216827249694335,,,,,,,,,,,,,,,,,,
2022-03-17,1.0094700806721892,1.0067760048417274,0.9898837161346238,0.9934993129353388,0.005930937759894173,0.012143739306424761,-0.00017749252274101845,0.006026853782779007,-0.00255,-7.092354814997037e-06,0.002201502838882652,,,,,,,,,,,,,,,,,,
2022-03-18,1.016576313513312,1.0230924229793603,0.9877797636792364,1.0006055457764618,0.007039567568353,0.01620660212317837,-0.0021254541529414084,0.007152730503785953,-0.0023699999999999997,-6.5911252097317075e-06,0.010799130336502927,,,,,,,,,,,,,,,,,,
2022-03-21,1.0171251591449455,1.0251360277435455,0.9842629181177232,0.9989957528046236,0.0005398961438878302,0.0019974781537663855,-0.0035603539278976637,-0.0016088187584338831,-0.00248,-6.897421473306409e-06,0.0012364131103501652,,,,,,,,,,,,,,,,,,
2022-03-22,1.0184960315013278,1.0165762712237003,0.9955644193503324,1.000366625161006,0.0013477912172921158,-0.008349873858873424,0.011482197515092718,0.0013722504350330844,-0.00255,-7.092354814997037e-06,-0.002026794569680246,,,,,,,,,,,,,,,,,,
2022-03-23,1.019028528461038,1.0016998745549832,1.0115058099384695,1.000899122120716,0.0005228267398600384,-0.014633822458603785,0.01601241494602612,0.000532301804475166,-0.0025,-6.953115321728376e-06,-0.014669776266236334,,,,,,,,,,,,,,,,,,
2022-03-24,1.014806881613542,0.9864338418056412,1.0183285489928202,0.99667747527322,-0.00414281517110382,-0.015240126446181446,0.006745130860657866,-0.00421785448122991,-0.00246,-6.841728738327113e-06,-0.014200067033874553,,,,,,,,,,,,,,,,,,
2022-03-25,1.0213683433772431,0.9935075091587464,1.0243778051671173,1.0032389370369212,0.006465724545805518,0.0071709495896421505,0.005940377671116215,0.006583335057213535,-0.00249,-6.925268258295425e-06,-0.007297895427583079,,,,,,,,,,,,,,,,,,
2022-03-28,1.0249463745089231,1.0030285902909808,1.02062595214035,1.0046795700323194,0.003503174104504625,0.009583300623763114,-0.003662567665799088,0.0014359819403073626,-0.00252,-7.008810283815059e-06,0.010955237547430885,,,,,,,,,,,,,,,,,,
